generated_utc,module,asset,field,before,snapshot_price,difference_before_pct,location,status
2026-07-15T07:27:04+00:00,fractal_path_tracker_metrics.csv,SOL,current_price,77.68000030517578,77.68000030517578,0.0,row 0,ALREADY_ALIGNED
2026-07-15T07:27:04+00:00,liquidation_metrics.csv,BTC,price,64590.7,64595.8515625,-0.007975067090826293,row 0,SYNCHRONISED
2026-07-15T07:27:04+00:00,liquidation_metrics.csv,SOL,price,77.65,77.68000030517578,-0.03862037211369573,row 1,SYNCHRONISED
2026-07-15T07:27:04+00:00,liquidation_metrics.csv,DOGE,price,0.07406,0.07408999651670456,-0.04048659483713024,row 2,SYNCHRONISED
2026-07-15T07:27:04+00:00,sol_onchain_metrics_latest.json,SOL,sol_price_usd,77.75,77.68000030517578,0.09011289205613782,$.sol_price_usd,SYNCHRONISED
2026-07-15T07:27:04+00:00,technical_structure_report.md,BTC,Prezzo,64.596,64595.8515625,-99.89999977020582,markdown table row 1,SYNCHRONISED
2026-07-15T07:27:04+00:00,technical_structure_report.md,SOL,Prezzo,"77,68",77.68000030517578,,markdown table row 2,SYNCHRONISED
2026-07-15T07:27:04+00:00,technical_structure_report.md,DOGE,Prezzo,0.07409,0.07408999651670456,4.701438260923396e-06,markdown table row 3,SYNCHRONISED
2026-07-15T07:27:04+00:00,technical_structure_report.md,BTC,Prezzo corrente,64.596,64595.8515625,-99.89999977020582,markdown line 52,SYNCHRONISED
2026-07-15T07:27:04+00:00,technical_structure_report.md,SOL,Prezzo corrente,"77,68",77.68000030517578,,markdown line 93,SYNCHRONISED
2026-07-15T07:27:04+00:00,technical_structure_report.md,DOGE,Prezzo corrente,0.07409,0.07408999651670456,4.701438260923396e-06,markdown line 134,SYNCHRONISED
