asset,name,event_date,age_reference_date,age_years,close,ema20,ema50,ema100,ema200,price_to_ema200_pct,upside_to_ema200_pct,ema50_ema200_gap_pct,ema50_slope_4w_pct,ema200_slope_8w_pct,rsi14,rsi_4w_change,gain_from_26w_low_pct,cross_state,weeks_since_death_cross,hit_ema200_4w,hit_ema200_8w,hit_ema200_12w,hit_ema200_16w,weeks_to_ema200,max_gain_4w_pct,max_gain_8w_pct,max_gain_12w_pct,max_gain_16w_pct,drawdown_4w_pct,drawdown_8w_pct,drawdown_12w_pct,drawdown_16w_pct,return_4w_pct,return_8w_pct,return_12w_pct,return_16w_pct,similarity_to_sol
XRP-USD,XRP,2023-03-13,2012-06-01,10.778918548939084,0.3884649872779846,0.3882242937077674,0.45363663630808376,0.517574914664535,0.5114291200098438,-24.04324038676021,31.653852151124838,-11.300194189303813,-2.850115482709359,-2.018090744056611,48.102003010453686,1.1440882538748767,20.78083440163565,EMA50 SOTTO EMA200 DA TEMPO,18,True,True,True,True,2,49.40857196647539,49.40857196647539,49.40857196647539,49.40857196647539,-3.7151310169867835,-3.7151310169867835,-3.7151310169867835,-3.7151310169867835,34.21852802077405,9.626350297305919,34.17450713563357,20.615759967876567,75.2968395096846
XLM-USD,Stellar,2022-06-20,2014-07-31,7.887748117727583,0.12021899968385696,0.1722404126797856,0.2247305468388529,0.23094208775334585,0.2013931686378168,-40.306316993275246,67.52191348075236,11.587969124715336,-7.212107144983914,-2.728988931841092,33.4770510092651,1.1503167994206507,19.263699231319098,EMA50 ANCORA SOPRA EMA200,,False,False,False,False,,3.135944603214247,14.412865875232672,14.412865875232672,14.412865875232672,-17.419877548422512,-17.419877548422512,-17.64446279732771,-17.64446279732771,-5.649690518205142,-7.5878182055602705,-10.778660323394574,-5.599781996503239,74.31162382602894
ADA-USD,Cardano,2023-02-06,2017-09-29,5.3552361396303905,0.36429598927497864,0.37330582374378013,0.5597703500643819,0.6984201569366953,0.6349204102279407,-42.62336138411522,74.28696140508117,-11.83613866446337,-5.21752290953329,-3.765401749473629,44.43787412064011,1.8567867878013757,51.568961813409686,DEATH CROSS CONFERMATO DA POCO,9,False,False,False,False,43,15.066323782114232,15.066323782114232,26.425215840153736,26.425215840153736,-18.06552738133853,-18.06552738133853,-18.06552738133853,-18.06552738133853,-8.99185969602605,6.971529592608494,3.4614760042851023,3.677506361593763,74.04998865998715
ETC-USD,Ethereum Classic,2023-02-06,2016-07-20,6.548939082819986,21.043527603149414,22.106277352429817,25.897916393516837,27.364181537854478,24.581074216332464,-14.391342632343495,16.810615976066746,5.357138445599019,-2.361871224777168,-1.3489647826705142,46.15127950878647,-2.521769804161657,41.356343868860044,EMA50 SOPRA EMA200 MA IN AVVICINAMENTO,,False,False,False,False,48,14.751312645876613,14.751312645876613,14.751312645876613,14.751312645876613,-22.77569868725895,-22.77569868725895,-22.77569868725895,-22.77569868725895,-10.62261321148651,-2.280521956709536,-10.823685117624438,-13.427060540644508,73.8448284560302
LTC-USD,Litecoin,2022-08-15,2011-10-13,10.839151266255989,55.492027282714844,72.55929622076454,103.25187951237127,114.239211865069,104.2817650403077,-46.78645181996518,87.92206763148897,-0.9875988649965306,-6.791907182490064,-3.6233063686650135,35.70080751815382,-0.09084701004408657,36.409722917700506,EMA50/EMA200 SOVRAPPOSTE / INCROCIO IN CORSO,0,False,False,False,False,26,20.85766440167123,20.85766440167123,30.84915262369954,51.055736815990095,-6.082291610956069,-11.930196546316186,-11.930196546316186,-11.930196546316186,-4.771393936660873,-7.228260697707323,3.5953772150248975,38.08839847824643,73.59572520027427
DOGE-USD,Dogecoin,2023-05-01,2013-12-06,9.399041752224504,0.07671000063419342,0.08082058587104347,0.09028064303818843,0.1008294623201581,0.0892814693064798,-14.080714363169623,16.388304742996773,1.1191277870648886,-1.707567944084698,-0.8858409633725306,46.82207150942135,-3.824972648472432,21.717467386642376,EMA50/EMA200 SOVRAPPOSTE / INCROCIO IMMINENTE,,False,False,False,False,31,0.5175293094047184,0.5175293094047184,8.644246871698314,8.644246871698314,-9.75883274044027,-23.691826273169305,-23.691826273169305,-23.947332330857453,-5.5260074892369175,-11.304913187284725,1.7611769877587502,-17.64959097080161,73.29190079845473
LINK-USD,Chainlink,2026-01-26,2017-09-20,8.350444900752908,9.410691261291504,14.413369864242902,15.818728698121312,15.503153723485346,14.265907028737379,-34.0336983667809,51.592551839593085,10.884843608302752,-4.2334903919764795,-1.101036900401997,32.449929279472585,-9.034960263663756,1.6318651003601525,EMA50 ANCORA SOPRA EMA200,,False,False,False,False,,6.037297986131707,6.914928061654924,6.914928061654924,15.33759465738398,-22.219952218447325,-22.219952218447325,-22.219952218447325,-22.219952218447325,-7.845771484597675,-10.683904507832276,0.8860919199519701,0.19455148424298851,72.55100267029529
BCH-USD,Bitcoin Cash,2021-09-20,2017-08-01,4.136892539356605,503.66741943359375,614.6941538315039,555.2414183010492,504.79241020612466,599.8157486572675,-16.029644009666132,19.089646364618673,-7.431337115772852,2.2950154253225774,,45.72612582536273,-6.749934701290748,30.43487607197268,EMA50 SOTTO EMA200 / CROSS GIÀ AVVENUTO,,True,True,True,True,2,30.169895203480035,44.93207597059992,44.93207597059992,44.93207597059992,-6.234628888425442,-6.234628888425442,-29.604632137300534,-30.40848333276176,22.671573869737436,14.3467222291767,-14.026778922713735,-22.823753554706826,72.46900727563599
ETC-USD,Ethereum Classic,2025-02-03,2016-07-20,8.542094455852157,20.19149398803711,24.801933902416078,24.10935957494691,23.88484118094459,23.456836819382044,-13.920644358351119,16.17187333081722,2.7818019990900833,-0.4560759573429496,0.49834172760061524,42.8877321976486,-7.4905186740365295,20.101430077414694,EMA50 SOPRA EMA200 MA IN AVVICINAMENTO,21,False,False,False,False,23,8.481207251960532,8.481207251960532,8.481207251960532,8.481207251960532,-13.279066872041778,-31.267221781499956,-36.22606993018619,-36.22606993018619,-11.27663123864201,-30.003137115467194,-20.707531476480888,-15.35996345416345,72.251501098382
LTC-USD,Litecoin,2024-08-12,2011-10-13,12.83230663928816,66.38336181640625,73.21517816326033,76.36613754249122,81.33092321536229,86.46911669722836,-23.228819314938054,30.257212547283242,-11.683916224231506,-2.556207603841887,-1.7895291071887365,43.685395077008984,-3.2686920295224056,31.636218069215438,EMA50 SOTTO EMA200 DA TEMPO,,False,False,False,True,13,2.971566486610744,7.6503390414894845,17.810539018503626,120.85272957131363,-10.369911504424778,-10.369911504424778,-10.369911504424778,-10.369911504424778,-4.589506953223765,-2.450063211125153,15.274554648890938,103.62712331915871,72.03096269540183
