snapshot_date,generated_at_utc,target_ticker,asset,current_price,horizon_day,target_date,raw_p10_price,raw_p25_price,raw_p50_price,raw_p75_price,raw_p90_price,shadow_p10_price,shadow_p25_price,shadow_p50_price,shadow_p75_price,shadow_p90_price,calibration_controls,calibration_active,calibration_strength,center_shift_pct,raw_bias_pct,wide_scale,central_scale
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,20,2026-08-05,53938.22130177432,58057.59337718181,61981.1164474738,68949.52328846173,73825.64820174692,53938.22130177432,58057.59337718181,61981.1164474738,68949.52328846173,73825.64820174692,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,21,2026-08-06,53945.075627363476,59175.6578042345,61617.315146393965,68553.7582308071,74934.56391054063,53945.075627363476,59175.6578042345,61617.315146393965,68553.7582308071,74934.56391054063,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,22,2026-08-07,55126.48678040087,58510.816190580146,63949.712994889254,69384.33755265735,75197.63403873649,55126.48678040087,58510.816190580146,63949.712994889254,69384.33755265735,75197.63403873649,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,23,2026-08-08,55338.24525179703,59085.33122893497,65025.55034262121,69321.55330195373,77312.11789973636,55338.24525179703,59085.33122893497,65025.55034262121,69321.55330195373,77312.11789973636,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,24,2026-08-09,53862.275174240756,60763.242487397525,65503.211765462336,70364.0136302965,78180.84910933394,53862.275174240756,60763.242487397525,65503.211765462336,70364.0136302965,78180.84910933394,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,25,2026-08-10,50757.4615618832,59065.00284157897,65387.340125702685,69575.88033564595,76825.24354180347,50757.4615618832,59065.00284157897,65387.340125702685,69575.88033564595,76825.24354180347,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,26,2026-08-11,51282.064400979,58037.34278501485,65109.097943125955,69652.83126312753,77991.6208404741,51282.064400979,58037.34278501485,65109.097943125955,69652.83126312753,77991.6208404741,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,27,2026-08-12,50193.20563473281,59182.46650731147,66223.39447963775,70521.7772836876,78537.74258827287,50193.20563473281,59182.46650731147,66223.39447963775,70521.7772836876,78537.74258827287,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,28,2026-08-13,49099.98970283287,57932.627879602005,66589.87651800283,72005.38445672482,77997.75778954293,49099.98970283287,57932.627879602005,66589.87651800283,72005.38445672482,77997.75778954293,0,0,0.0,0.0,,1.0,1.0
2026-07-16,2026-07-16 15:04:45,BTC-USD,BTC,64443.671875,29,2026-08-14,50704.83810996354,56536.35714452825,66591.52375232335,72383.48862833792,80243.8468314261,50704.83810996354,56536.35714452825,66591.52375232335,72383.48862833792,80243.8468314261,0,0,0.0,0.0,,1.0,1.0
